Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,7169.299805,7214.799805,7101.399902,7168.700195,7168.700195,677216200
2022-07-04,7168.700195,7258.500000,7168.700195,7232.700195,7232.700195,420674600
2022-07-05,7232.700195,7260.299805,7016.799805,7025.500000,7025.500000,1105144500
2022-07-06,7025.500000,7198.700195,7025.399902,7107.799805,7107.799805,933905000
2022-07-07,7107.799805,7213.100098,7107.799805,7189.100098,7189.100098,1108987400
2022-07-08,7189.100098,7210.600098,7129.200195,7196.200195,7196.200195,604222100
2022-07-11,7196.200195,7204.100098,7097.399902,7196.600098,7196.600098,676893400
2022-07-12,7196.600098,7216.899902,7143.299805,7209.899902,7209.899902,855143900
2022-07-13,7209.899902,7209.899902,7104.100098,7156.399902,7156.399902,805881600
2022-07-14,7156.399902,7157.600098,7007.100098,7039.799805,7039.799805,848278400
2022-07-15,7039.799805,7167.899902,7038.200195,7159.000000,7159.000000,782905500
2022-07-18,7159.000000,7268.899902,7159.000000,7223.200195,7223.200195,670662200
2022-07-19,7223.200195,7309.000000,7174.399902,7296.299805,7296.299805,665883200
2022-07-20,7296.299805,7347.600098,7253.600098,7264.299805,7264.299805,1059158500
2022-07-21,7264.299805,7274.700195,7200.100098,7270.500000,7270.500000,798169600
2022-07-22,7270.500000,7315.299805,7254.000000,7276.399902,7276.399902,606877600
2022-07-25,7276.399902,7309.700195,7242.899902,7306.299805,7306.299805,711402100
2022-07-26,7306.299805,7365.399902,7301.200195,7306.299805,7306.299805,730984300
2022-07-27,7306.299805,7365.200195,7306.299805,7348.200195,7348.200195,1188866700
2022-07-28,7348.200195,7396.200195,7309.000000,7345.299805,7345.299805,745838600
2022-07-29,7345.299805,7441.200195,7345.299805,7423.399902,7423.399902,883363000
2022-08-01,7446.000000,7471.899902,7408.899902,7413.399902,7413.399902,558506400
2022-08-02,7413.399902,7433.299805,7386.799805,7409.100098,7409.100098,623919300
2022-08-03,7409.100098,7445.899902,7372.700195,7445.700195,7445.700195,947917500
2022-08-04,7445.700195,7491.700195,7417.500000,7448.100098,7448.100098,858684300
2022-08-05,7448.100098,7470.600098,7420.200195,7439.700195,7439.700195,609722300
2022-08-08,7439.700195,7513.799805,7439.700195,7482.399902,7482.399902,626255900
